stage, 1, 2, 3, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 1.0609, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 1.1236000000000002, 
x[2], 0.0, 130.18867924528303, 0.0, 
y[2], 0.0, 130.188679245283, 130.188679245283, 
total, 183.18

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 1.0609, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 0.9964, 
x[2], 0.0, 130.188679245283, 0.0, 
y[2], 0.0, 130.188679245283, 130.188679245283, 
total, 166.61999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 1.1236000000000002, 
x[2], 0.0, 130.188679245283, 0.0, 
y[2], 0.0, 130.188679245283, 130.188679245283, 
total, 183.18

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 0.9964, 
x[2], 0.0, 130.188679245283, 0.0, 
y[2], 0.0, 130.188679245283, 130.188679245283, 
total, 166.61999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 1.0609, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.9964, 
x[2], 0.0, 146.80851063829786, 0.0, 
y[2], 0.0, 146.80851063829786, 146.80851063829786, 
total, 183.17999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 1.0609, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.8835999999999999, 
x[2], 0.0, 146.80851063829786, 0.0, 
y[2], 0.0, 146.80851063829786, 146.80851063829786, 
total, 166.61999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.9964, 
x[2], 0.0, 146.80851063829786, 0.0, 
y[2], 0.0, 146.80851063829786, 146.80851063829786, 
total, 183.17999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.8835999999999999, 
x[2], 0.0, 146.8085106382979, 0.0, 
y[2], 0.0, 146.80851063829786, 146.80851063829786, 
total, 166.61999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 1.1236000000000002, 
x[2], 0.0, 124.52830188679243, 0.0, 
y[2], 0.0, 124.52830188679243, 124.52830188679243, 
total, 176.51999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 0.9964, 
x[2], 0.0, 124.52830188679243, 0.0, 
y[2], 0.0, 124.52830188679243, 124.52830188679243, 
total, 160.67999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9409, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 1.1236000000000002, 
x[2], 0.0, 124.52830188679243, 0.0, 
y[2], 0.0, 124.52830188679243, 124.52830188679243, 
total, 176.51999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9409, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 0.9964, 
x[2], 0.0, 124.52830188679245, 0.0, 
y[2], 0.0, 124.52830188679243, 124.52830188679243, 
total, 160.67999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.9964, 
x[2], 0.0, 140.4255319148936, 0.0, 
y[2], 0.0, 140.4255319148936, 140.4255319148936, 
total, 176.51999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.8835999999999999, 
x[2], 0.0, 140.4255319148936, 0.0, 
y[2], 0.0, 140.4255319148936, 140.4255319148936, 
total, 160.67999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9409, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.9964, 
x[2], 0.0, 140.4255319148936, 0.0, 
y[2], 0.0, 140.4255319148936, 140.4255319148936, 
total, 176.51999999999998

stage, 1, 2, 3, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9409, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.8835999999999999, 
x[2], 0.0, 140.4255319148936, 0.0, 
y[2], 0.0, 140.4255319148936, 140.4255319148936, 
total, 160.67999999999998

average, 171.74999999999997
objective, 171.75